Id. Parada,Cod. Via / Cod. Vía,Num. Portal,Suprimida,Denominació / Denominación,Línies / Líneas,Proximas_llegadas,geo_shape,geo_point_2d,geometry,latitud,longitud,hora_descarga
692.0,62670.0,28,0,Ramón i Cajal (parell) - Jesús (692),"67,80,92,N3",  Nou Campanar - 7 min.   Campanar - 8 min.   Blasco Ibáñez - 13 min.   Campanar - 24 min.   Nou Campanar - 27 min.   Blasco Ibáñez - 29 min.,"{""coordinates"": [-0.3827532483627891, 39.46763282221337], ""type"": ""Point""}","39.46763282221337, -0.3827532483627891",POINT (-0.3827532483627891 39.46763282221337),39.46763282221337,-0.3827532483627891,16:12:07
20.0,44550.0,123,0,la Malva-rosa - Mendizábal (20),"19,31,92,N1",  Campanar - 9 min.   Est.del Nord - 10 min.   Poeta Querol - 11 min.   Est.del Nord - 20 min.   Poeta Querol - 21 min.   Campanar - 21 min.,"{""coordinates"": [-0.32785685889267163, 39.48392812543484], ""type"": ""Point""}","39.48392812543484, -0.32785685889267163",POINT (-0.3278568588926716 39.48392812543484),39.48392812543484,-0.32785685889267163,16:12:07
230.0,26190.0,32,0,Eduard Boscà - Passeig de l¿Albereda (230),"18,90",  La Fe - 2 min.   La Fe - 10 min.   Hosp. Dr.Peset - 17 min.   Hosp. Dr.Peset - 32 min.,"{""coordinates"": [-0.35783527798171233, 39.464631131778205], ""type"": ""Point""}","39.464631131778205, -0.35783527798171233",POINT (-0.3578352779817123 39.46463113177821),39.464631131778205,-0.35783527798171233,16:12:07
1277.0,61410.0,18,0,Primat Reig - Ministre Luis Mayans (1277),11,  Patraix - 12 min.   Patraix - 22 min.,"{""coordinates"": [-0.37074257963275953, 39.48954132311377], ""type"": ""Point""}","39.48954132311377, -0.37074257963275953",POINT (-0.3707425796327595 39.48954132311377),39.48954132311377,-0.37074257963275953,16:12:07
1028.0,,7,0,Mare de Déu de Lepant (imparell) - Esc. F. Siurana (1028),14,  Castellar - 10 min.   Cast/F.Alcedo - 15 min.   Castellar - 25 min.   Cast/F.Alcedo - 44 min.,"{""coordinates"": [-0.3636659714523874, 39.42950312793816], ""type"": ""Point""}","39.42950312793816, -0.3636659714523874",POINT (-0.3636659714523874 39.42950312793816),39.42950312793816,-0.3636659714523874,16:12:07
1042.0,38670.0,73,0,Regne de València - Ciscar (1042),"19,40",  Est.del Nord - 2 min.   Est.del Nord - 3 min.   Est.del Nord - 8 min.   Est.del Nord - 18 min.,"{""coordinates"": [-0.36313369391928424, 39.462853437647304], ""type"": ""Point""}","39.462853437647304, -0.36313369391928424",POINT (-0.3631336939192842 39.4628534376473),39.462853437647304,-0.36313369391928424,16:12:07
1054.0,81310.0,4,0,Aragó - Saragossa (1054),"10,12,79,93,N1",  Benimaclet - 2 min.   Pass. Marítim - 2 min.   Av. Arago - 4 min.   Pass. Marítim - 10 min.   Benimaclet - 15 min.   Av. Arago - 15 min.   C.Art.Faller - 15 min.   C.Art.Faller - 36 min.,"{""coordinates"": [-0.35997724746640253, 39.46864983497346], ""type"": ""Point""}","39.46864983497346, -0.35997724746640253",POINT (-0.3599772474664025 39.46864983497346),39.46864983497346,-0.35997724746640253,16:12:07
1062.0,56490.0,88,0,Pere Cabanes - Bisbe Laguarda (1062),12,  C.Art.Faller - 5 min.   C.Art.Faller - 23 min.,"{""coordinates"": [-0.3787829198086891, 39.49424189829983], ""type"": ""Point""}","39.49424189829983, -0.3787829198086891",POINT (-0.3787829198086891 39.49424189829983),39.49424189829983,-0.3787829198086891,16:12:07
1067.0,26460.0,93 (DAVANT),0,Equador - Pintor Matarana (1067),12,  C.Art.Faller - 12 min.   C.Art.Faller - 30 min.,"{""coordinates"": [-0.39277823209961477, 39.49607896649905], ""type"": ""Point""}","39.49607896649905, -0.39277823209961477",POINT (-0.3927782320996148 39.49607896649905),39.49607896649905,-0.39277823209961477,16:12:07
1080.0,69360.0,15,0,Sant Vicent de Paül - Peníscola (1080),11,  Patraix - 10 min.   Patraix - 20 min.,"{""coordinates"": [-0.37058147626071086, 39.490880785300305], ""type"": ""Point""}","39.490880785300305, -0.37058147626071086",POINT (-0.3705814762607109 39.49088078530031),39.490880785300305,-0.37058147626071086,16:12:07
